match_id,blue_top,blue_jg,blue_mid,blue_adc,blue_sup,red_top,red_jg,red_mid,red_adc,red_sup
EUW1_7615820854,KSante,Naafiri,Katarina,Kaisa,Pantheon,Rumble,Skarner,Irelia,Karthus,Olaf
EUW1_7615778658,Gragas,Elise,Yone,Smolder,Senna,Riven,Karthus,Irelia,Kalista,Nautilus
EUW1_7615749752,KSante,Diana,Irelia,Kaisa,Poppy,Aatrox,Rengar,Akali,Caitlyn,Sona
EUW1_7615715425,Vayne,Nidalee,Vladimir,Jhin,Poppy,Akali,Sylas,Zaahen,Yunara,Thresh
EUW1_7615450637,Sion,Sylas,Syndra,Zeri,Soraka,Jayce,Janna,Irelia,MissFortune,
EUW1_7615407848,Sett,Fizz,LeeSin,MissFortune,Zoe,Malphite,Ekko,Akali,Draven,Nami
EUW1_7615369506,Zaahen,Diana,Irelia,Varus,Soraka,Ryze,Ambessa,Mel,Ashe,Blitzcrank
EUW1_7619694692,Aatrox,Viego,Katarina,Zoe,Janna,Jayce,DrMundo,Sylas,MissFortune,Rell
EUW1_7618142647,Gangplank,Elise,Annie,Xayah,Pyke,Yorick,Rengar,Talon,Zoe,Neeko
EUW1_7605698127,Gnar,Qiyana,Zoe,Ezreal,Rakan,Shen,JarvanIV,Galio,Mel,Bard
EUW1_7603307654,Garen,LeeSin,Zoe,Lucian,Kennen,Ambessa,Pantheon,Akali,Ezreal,Rell
EUW1_7603256495,Vladimir,Khazix,Akali,Caitlyn,Poppy,Viego,JarvanIV,Zoe,Ziggs,Nautilus
EUW1_7602804943,Irelia,Qiyana,Malzahar,Kaisa,Sylas,Swain,LeeSin,Ryze,Samira,Zoe
EUW1_7602754896,Garen,Qiyana,Taliyah,Hwei,Rell,Jayce,Nidalee,Zoe,Malzahar,Senna
EUW1_7602693194,Sion,Qiyana,Corki,Zoe,Lux,Darius,Graves,Neeko,Ezreal,Blitzcrank
EUW1_7602137138,Sion,Jax,Aurora,Yunara,Nautilus,Darius,Sylas,Zoe,Aphelios,Janna
EUW1_7602115759,Ambessa,Diana,Zoe,Smolder,Thresh,Renekton,Jax,Orianna,Ezreal,Janna
EUW1_7620075176,Jax,Aatrox,Syndra,Zeri,Rakan,KSante,Nidalee,Aurora,Vayne,Rell
EUW1_7620054727,Ambessa,Aatrox,Mel,Jhin,Rell,Renekton,Diana,Jayce,Neeko,Pyke
EUW1_7608953766,Akali,Naafiri,Mel,Ezreal,Alistar,Darius,Rengar,Syndra,Kaisa,Leona
EUW1_7608921711,Renekton,Viego,Ambessa,Ziggs,Nautilus,Camille,Sylas,Syndra,MissFortune,Rell
EUW1_7608901780,Tristana,Fizz,Urgot,Kaisa,Neeko,Vayne,XinZhao,Diana,Kalista,Thresh
EUW1_7607989130,Aatrox,Karthus,Syndra,Yunara,Rell,Chogath,Sylas,Galio,Corki,Braum
EUW1_7607961205,Aatrox,Rengar,Syndra,Corki,Bard,Sion,Hecarim,Ryze,Yunara,Zilean
EUW1_7607943705,Renekton,Diana,Galio,Corki,Pyke,Teemo,Talon,Akali,Draven,Bard
EUW1_7607927327,Sion,Nidalee,Ryze,Ashe,Rell,Ambessa,JarvanIV,Akali,Senna,Lux
EUW1_7607403748,Darius,Sylas,Caitlyn,Ezreal,Mel,Nidalee,Elise,Ryze,Smolder,Nautilus
EUW1_7620457472,Rumble,JarvanIV,Nunu,Kaisa,Morgana,Aurora,Zed,Taliyah,Jhin,Alistar
EUW1_7620408438,DrMundo,Ambessa,KogMaw,Lucian,Nami,Aatrox,Karthus,Taliyah,Jhin,Nautilus
EUW1_7620376114,Aatrox,Talon,Viktor,Jhin,Poppy,Jayce,Zed,Ahri,Ezreal,Leona
EUW1_7620333275,Ambessa,Aatrox,Malzahar,Mel,Alistar,Irelia,Talon,Azir,Sivir,Bard
EUW1_7620267223,Trundle,Qiyana,Syndra,Anivia,Rakan,Zaahen,Ambessa,Fizz,Zoe,Nautilus
EUW1_7620227259,Zaahen,Diana,Ryze,Yunara,Poppy,Rumble,Kindred,Taliyah,Tristana,Alistar
EUW1_7620196890,Fiora,DrMundo,Neeko,Lucian,Bard,Malphite,Diana,Yone,Xayah,Nautilus
EUW1_7619396957,Quinn,Hecarim,Ekko,Varus,Alistar,Zaahen,XinZhao,Urgot,Tristana,Braum
EUW1_7619363828,Yorick,Talon,Akshan,Lucian,Neeko,Singed,XinZhao,Quinn,Kaisa,Nautilus
EUW1_7619317109,KSante,Diana,Yasuo,Taliyah,Poppy,Vladimir,Nidalee,Renekton,Kalista,Alistar
EUW1_7619032976,Zaahen,Naafiri,Orianna,Aphelios,Janna,Aatrox,Zyra,Syndra,Kaisa,Blitzcrank
EUW1_7617964643,Jax,LeeSin,Akali,Yunara,Soraka,KSante,Talon,Ahri,MissFortune,Taric
EUW1_7616784542,KSante,Kayn,Viktor,Jhin,Karma,Irelia,Khazix,Sylas,MissFortune,Nautilus
EUW1_7616756296,Zed,Chogath,Aurora,Yunara,Janna,Pantheon,Karthus,Sylas,Aphelios,Shaco
